wallet_name,coin,public_key
kaliumMain,ban,ban_3mu93fpkbmfuh99jqoq148ge4mgfq5xraeu94mkzno9atc5cy7oqrpjeypxr
kaliumSub,ban,ban_3myuz4sgowakm8df48rqquksc93p6nzmao5cqixz543myr8xyb5qj9phoi1i
